Make,Model,Number.of.Engines,Injury.Severity,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,RiskScore
Cessna,425,2.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Piper,PA-28-150,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Grumman,G-164B,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Collier,Quickie,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Winters,Glasair SH-2,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Gray Jerry,Kitfox,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Cessna,172N,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Robinson,R22 Beta,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Beech,58,2.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Stinson,108-1,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Mooney,M20S,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Cessna,172P,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Embraer,EMB-120ER,2.0,Non-Fatal,0.0,0.0,0.0,27.0,0.0
Wsk Pzl Mielec,M-18A,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Beech,58P,2.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Airbus Industrie,A319-111,2.0,Non-Fatal,0.0,1.0,0.0,101.0,5.0
American Champion (acac),7GCAA,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,210E,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Robinson,R-22 Beta,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Air Tractor,AT-502A,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,182Q,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Cessna,175,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Palen,Avro-504K,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Bell,47G-2,1.0,Non-Fatal,0.0,0.0,1.0,1.0,2.0
"Rans, Inc.",S-14,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Cessna,150M,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Cessna,140A,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-28-140,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Airbus Industrie,A320-321,2.0,Non-Fatal,0.0,1.0,0.0,139.0,5.0
Pippert,Zenith Air CH 701,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Mooney,M20J,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Cessna,R172K,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Grumman,G-164,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Bell,206B,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
De Havilland,DHC-2,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Beech,A36TC,1.0,Fatal(5),5.0,7.0,0.0,0.0,85.0
Cessna,172S,1.0,Fatal(1),1.0,1.0,0.0,0.0,15.0
Cessna,172H,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,172L,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,175A,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Kilishek,RV-8,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Manweiler,Acro Sport II,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Helio,H800,1.0,Non-Fatal,0.0,0.0,1.0,2.0,2.0
Zimmerman,Glastar,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Agusta,A109K2,2.0,Fatal(1),1.0,0.0,1.0,1.0,12.0
Beech,1900D,2.0,Incident,0.0,0.0,0.0,8.0,0.0
Cessna,172P,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Cessna,172M,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Aviat,A-1A,1.0,Fatal(1),1.0,1.0,0.0,0.0,15.0
Piper,PA-28-140,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,150,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,172S,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,172K,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Robinson,R-22 Beta,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Sesin,EXEC90,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-44-180,2.0,Fatal(3),3.0,0.0,0.0,0.0,30.0
Piper,PA-12,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Piper,PA-28R-180,1.0,Non-Fatal,0.0,0.0,4.0,0.0,8.0
Robinson,R22 Beta II,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Ayres,S2R-G10,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Dromader,M-18,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Braunschmidt,RV-6A,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,402B,2.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Cessna,185,1.0,Non-Fatal,0.0,0.0,1.0,4.0,2.0
Rockwell International,Aero-Commander 112TC,1.0,Fatal(1),1.0,1.0,0.0,0.0,15.0
Cessna,172H,1.0,Non-Fatal,0.0,0.0,1.0,1.0,2.0
American Champion (acac),7EC,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Robinson,R-22 Beta,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Piper,PA-24-250,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,140A,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Boeing,757-200,2.0,Incident,0.0,0.0,1.0,173.0,2.0
Cessna,R182,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Aerospatiale,AS355F1,2.0,Non-Fatal,0.0,0.0,3.0,1.0,6.0
Chinook Plus 2,A13-SWB,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Ayers,RV-6A,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Argus Aviation,CA-7,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Rockwell International,S-2R,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-18A-150,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Aviat Aircraft Inc.,A-1,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Cessna,210L,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Piper,PA-25-235,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Boeing Stearman,E75,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Mooney,M20J,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Robinson,R22 Beta,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Cessna,R172E,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Williamson,GLASTAR,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,150H,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Piper,PA-32R-301,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Boeing,MD-82,2.0,Non-Fatal,0.0,2.0,0.0,132.0,10.0
Cessna,182R,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Mooney,M20C,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Eurocopter France,AS 350 B2,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Boeing,A75N1(PT17),1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Piper,PA-46-500TP,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Mcculloch,J-2,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
New Standard,D-25,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-24,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,T210N,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Longren,Centaur L-13,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Kowtun,Mini 500,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Bell,47-G4,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Bombardier,CL-600-2B19,2.0,Incident,0.0,0.0,0.0,52.0,0.0
Diamond Aircraft Industries,DA 20-A1,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Cessna,172P,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-18,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Zenith,601HDS,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Kolb Company,MKIII,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Grumman,AA-5B,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Beech,S35,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Engineering & Research,415-C,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,172N,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Bellanca,7KCAB,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Apex Aircraft,CAP 10B,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Cessna,T337G,2.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,205,1.0,Fatal(4),4.0,1.0,0.0,0.0,45.0
Schleicher,ASW-20,0.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,180,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Enstrom,280C,1.0,Non-Fatal,0.0,1.0,0.0,1.0,5.0
Cessna,172M,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,182J,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Mcdonnell Douglas,369D,1.0,Fatal(4),4.0,0.0,0.0,0.0,40.0
Adams Balloon,A55,0.0,Non-Fatal,0.0,1.0,0.0,1.0,5.0
Mccarty,Avid Magnum,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Mooney,M20E,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-28-180,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Robinson,R22 BETA,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Bellanca,8GCBC,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Piper,PA-36-300,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Polstra,Zodiac CH 601 HDS,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Downer,RC-3,1.0,Fatal(1),1.0,1.0,0.0,0.0,15.0
Piper,PA-30,2.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Piper,PA-31P,2.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Cessna,206,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,A188B,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-32-300,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,182Q,1.0,Fatal(5),5.0,0.0,0.0,0.0,50.0
Cessna,172N,1.0,Fatal(5),5.0,0.0,0.0,0.0,50.0
Cessna,172S,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA 28-180,1.0,Non-Fatal,0.0,0.0,4.0,0.0,8.0
Ercoupe (eng & Research Corp.),415-C,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Embraer,EMB-145LR,2.0,Non-Fatal,0.0,1.0,0.0,52.0,5.0
Cessna,177,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Beech,S35,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
"Allied Ag Cat Productions, Inc",G-164B,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Ayres,S2R-T34,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Cessna,182L,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Piper,PA-32R-301T,1.0,Fatal(2),2.0,1.0,1.0,0.0,27.0
Aviat,A-1,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Schleicher,ASW-27B,0.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Maule,M-7-235C,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Harshbarger W/reed,RV-8,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Mbb,BO-105C,2.0,Non-Fatal,0.0,1.0,2.0,0.0,9.0
Bell,206B,1.0,Non-Fatal,0.0,0.0,2.0,1.0,4.0
Air Tractor,AT-301,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,Saratoga II TC PA32-,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Schleicher,ASW28,0.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Piper,PA-28-236,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-11,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Aerostar International,RX 8,0.0,Non-Fatal,0.0,1.0,0.0,2.0,5.0
Cessna,182H,1.0,Fatal(1),1.0,2.0,2.0,1.0,24.0
Cessna,T337D,2.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,182C,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,172K,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
William Stevens,RAF2000,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,172M,1.0,Non-Fatal,0.0,1.0,1.0,0.0,7.0
Cessna,172L,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Air Tractor,AT-802A,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Waco,ARE,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,210M,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Maule,M-5-235C,1.0,Fatal(3),3.0,0.0,0.0,0.0,30.0
Canadair,CRJ-100,2.0,Fatal(1),1.0,3.0,0.0,20.0,25.0
Cessna,150L,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Beech,Be-35-33,1.0,Non-Fatal,0.0,1.0,1.0,0.0,7.0
Parsons,Trainer,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Davis,LG2H,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Boeing,757-232,2.0,Non-Fatal,0.0,3.0,27.0,144.0,69.0
Embraer,EMB-135-KL,2.0,Non-Fatal,0.0,0.0,0.0,34.0,0.0
Cessna,170B,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Hammond,Vans RV-6A,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Mcdonnell Douglas,369E,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Cessna,185F,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Beech,24,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
John L. Klein,Marquart ChargerMA-5,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Cessna,172M,1.0,Non-Fatal,0.0,2.0,0.0,0.0,10.0
Cessna,172,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
De Havilland,DHC-2,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Robinson,R-22 Beta,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Robinson,R44 II,1.0,Fatal(3),3.0,0.0,0.0,0.0,30.0
Eurocopter,EC120B,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Cessna,180,1.0,Fatal(3),3.0,0.0,0.0,0.0,30.0
Herrin,Hornet,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Air Tractor,402A,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,150F,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,414,2.0,Fatal(2),2.0,1.0,1.0,0.0,27.0
Mcanally,Glasair JM-1,1.0,Non-Fatal,0.0,2.0,0.0,0.0,10.0
Hughes,369D,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Pieterse,Kitfox 2,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Beech,35-B33,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Cessna,P206,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Cessna,170A,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Champion,7EC,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Robinson,R22 Beta,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Air Tractor,AT-301,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,172N,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Bell,47G-5A,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Hiller,UH-12E,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Maule,M-5-235C,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Lamb (vans),RV-4,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Maule,M-4-220C,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Robinson,R22 Beta,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Bellanca,7GCBC,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Schweizer,G-164B,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-24-260,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Schweizer,269C,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Champion,7GCB,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Swearingen,SA-226T,2.0,Non-Fatal,0.0,0.0,2.0,8.0,4.0
Stugart,Vans RV-6A,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Mattison,Starduster Too,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Cessna,170B,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Cessna,172K,1.0,Non-Fatal,0.0,0.0,3.0,0.0,6.0
Cessna,210D,1.0,Non-Fatal,0.0,2.0,0.0,0.0,10.0
Cessna,210K,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,172H,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Bowers,Fly Baby,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Piper,PA-28-161,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Cessna,185,1.0,Non-Fatal,0.0,1.0,1.0,0.0,7.0
Cessna,210,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Robinson,R22 Beta,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Stinson,108-3,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Beech,A35,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Aero Vodochody Aero Works,L39C,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Mooney,M20J,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Samual G. Dasilva,Velocity,1.0,Non-Fatal,0.0,1.0,1.0,0.0,7.0
Wsk Pzl Mielec,M-18A,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Champion,7AC,1.0,Non-Fatal,0.0,1.0,0.0,1.0,5.0
Mooney,M20C,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,172M,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,A185F,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Robinson,R-22,1.0,Non-Fatal,0.0,1.0,0.0,1.0,5.0
Cessna,172N,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,T210M,1.0,Non-Fatal,0.0,0.0,0.0,5.0,0.0
Bell,206B3,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Debay,Dragonfly Mark II,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Cessna,140,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-24,1.0,Non-Fatal,0.0,0.0,0.0,5.0,0.0
Beech,58P,2.0,Fatal(2),2.0,2.0,0.0,0.0,30.0
North American,P-51D,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Beech,BE36,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Stinson,108-3,1.0,Non-Fatal,0.0,1.0,1.0,0.0,7.0
Butler,Bowers Fly Baby 1A,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Cessna,421C,2.0,Fatal(5),5.0,0.0,0.0,0.0,50.0
Mooney,M20-J,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
